id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
ZG-3147	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	11929456	13090510	8,6	CR628371,CU694479	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3147	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	11853590	12143447	8,6	CR628371,CU694479	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3148	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	12625173	13036354	11,12	BX548050,CT990561	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3148	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	12143448	12696544	11,12	BX548050,CT990561	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3149	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	24815043	25161681	10,9	FP236328,CR933018	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3149	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	25215691	25558778	10,9	FP236328,CR933018	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3150	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	24951455	25453538	5,7	BX897671,CT573197	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3150	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	25558779	26049681	5,7	BX897671,CT573197	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3153	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	34676858	34923231	7,3	BX248233,FQ323123	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3153	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3157	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	35653753	36019485	23,16	BX663516,BX537273	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3157	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	36798225	37164182	23,16	BX663516,BX537273	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3158	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	38625415	38775525	8,15	FP236276,CU896636	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3158	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3158	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3159	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	39957980	40152996	6,11	CU633836,BX927333	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3159	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	41243354	41438941	6,11	CU633836,BX927333	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3160	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	40006829	40493155	11,8	BX927333,AL953903	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3160	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	41292774	41780446	11,8	BX927333,AL953903	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3161	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	44098080	44346767	24,14	CR384089,CR385083	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3161	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	45447017	45917540	24,14	CR384089,CR385083	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3286	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	71178	111733	4,4	CU633885,CU633885	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3286	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	172055	212610	4,4	CU633885,CU633885	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3288	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	45103434	45142326	7,7	CU695198,CU695198	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3288	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	46370076	46407642	7,7	CU695198,CU695198	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-33	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	24965863	25197967	1,9	FQ311930,CR933018	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3635	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	795966	980285	23,7	CU694495,FP086611	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3635	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	792477	1073439	23,7	CU694495,FP086611	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3636	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	939767	1275295	7,11	FP086611,CU694269	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3636	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	1032921	1280573	7,11	FP086611,CU694269	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3637	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	1275396	1328185	4,4	CU694253,CU914531	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3637	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	1280574	1364572	4,4	CU694253,CU914531	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3638	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	1283833	1400204	4,4	CU914531,CU928210	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3638	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	1325195	1454648	4,4	CU914531,CU928210	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3639	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	1391215	1544164	9,7	CU914630,CU424461	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3639	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	1454649	1598608	9,7	CU914630,CU424461	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3640	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	1640484	1841989	15,3	CU459021,CU915637	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3640	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	1694928	1898126	15,3	CU459021,CU915637	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3641	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	2412264	2624944	5,6	CU914618,CU856539	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3641	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	2466385	2677206	5,6	CU914618,CU856539	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3642	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	2624945	2711119	6,7	CU468288,FP085363	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3642	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	2677207	2765482	6,7	CU468288,FP085363	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3643	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	2797690	3083910	8,6	CR394525,CU571089	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3643	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	2852053	3189974	8,6	CR394525,CU571089	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3644	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	3476558	3868596	9,13	CU571170,FP236598	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3644	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	3484364	3876502	9,13	CU571170,FP236598	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3645	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	3753421	4783207	13,17	FP236598,BX897660	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3645	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	3761327	4786913	13,17	FP236598,BX897660	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3646	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	5577428	7172203	3,10	FP102769,CT573223	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3646	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	5581134	5729036	3,10	FP102769,CT573223	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3647	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	6652371	7714645	7,26	CU915535,BX511100	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3647	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	6240904	6445334	7,26	CU915535,BX511100	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3648	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	6926782	7787185	3,7	CU855689,CU633977	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3648	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	6550154	6774385	3,7	CU855689,CU633977	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3649	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	5687762	8625658	9,19	BX682234,BX294128	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3649	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	7475794	7780466	9,19	BX682234,BX294128	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3650	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	6427228	8662741	8,7	CU302319,CU657976	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3650	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	8514478	8711681	8,7	CU302319,CU657976	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3651	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	8662742	9099588	7,15	CU655827,BX571955	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3651	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	8711682	9023632	7,15	CU655827,BX571955	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3652	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	9641191	9987451	4,7	BX248511,BX248503	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3652	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	9565235	9911585	4,7	BX248511,BX248503	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3653	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	11929456	13090510	8,6	CR628371,CU694479	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3653	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	11853590	12143447	8,6	CR628371,CU694479	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3654	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	12625173	13036354	11,12	BX548050,CT990561	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3654	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	12143448	12696544	11,12	BX548050,CT990561	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3655	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	12540215	12815326	4,12	FQ311890,CT990561	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3655	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3656	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	12136319	13161946	10,6	CR847904,CU633853	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3656	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	12869294	13083855	10,6	CR847904,CU633853	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3657	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	14488602	14635711	7,8	FP325110,CU694478	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3658	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	16300474	16552838	7,11	CU633864,CT027815	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3658	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	16287167	16461681	7,11	CU633864,CT027815	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3659	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	16552839	17276444	17,4	CR790388,BX324123	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3659	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	16461682	17074702	17,4	CR790388,BX324123	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3660	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	17001125	17419932	2,4	CR855996,FP091248	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3660	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	17074703	17407586	2,4	CR855996,FP091248	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3661	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	19393684	19993707	11,6	BX005125,AL935273	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3661	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	19381338	19985021	11,6	BX005125,AL935273	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3662	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	21775076	22232595	7,13	CR774179,BX005027	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3662	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	21944548	22402257	7,13	CR774179,BX005027	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3663	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	22751524	22952265	7,4	AL807389,CU469521	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3663	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	22921186	23122031	7,4	AL807389,CU469521	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3664	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	24815043	25161681	10,9	FP236328,CR933018	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3664	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	25215691	25558778	10,9	FP236328,CR933018	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3665	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	24951455	25453538	5,7	BX897671,CT573197	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3665	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	25558779	26049681	5,7	BX897671,CT573197	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3666	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	27733608	28171733	5,11	CR788292,CR925779	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3666	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	28330300	28740139	5,11	CR788292,CR925779	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3667	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	35653753	36019485	23,16	BX663516,BX537273	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3667	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	36798225	37164182	23,16	BX663516,BX537273	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3668	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	36019486	36423469	12,16	FP236848,BX088524	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3668	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3669	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	38679890	38962201	15,12	CU896636,CR848005	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3669	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3669	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3670	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	38962202	39255081	35,12	BX248386,CU633908	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3670	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	40246351	40539410	35,12	BX248386,CU633908	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3671	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	39133255	39311016	12,9	CU633908,CU633886	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3671	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	40417584	40617784	12,9	CU633908,CU633886	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3672	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	39278195	39446538	9,10	CU633886,CU633782	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3672	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	40584963	40731912	9,10	CU633886,CU633782	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3673	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	39957980	40152996	6,11	CU633836,BX927333	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3673	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	41243354	41438941	6,11	CU633836,BX927333	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3674	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	40006829	40493155	11,8	BX927333,AL953903	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3674	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	41292774	41780446	11,8	BX927333,AL953903	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3675	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	40989628	41365359	5,22	CU571179,BX005297	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3675	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	42276919	42662008	5,22	CU571179,BX005297	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3676	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	41430190	41932631	9,10	CU571062,BX005006	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3676	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	42716636	43219330	9,10	CU571062,BX005006	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3677	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	41700038	42118132	10,10	BX005006,CU928082	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3677	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	42986737	43311637	10,10	BX005006,CU928082	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3678	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	42669808	43057287	12,6	AL935178,FP236542	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3678	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	43863313	44251261	12,6	AL935178,FP236542	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3679	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	43799051	44019694	4,30	CU929084,CT583727	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3679	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	45147603	45368631	4,30	CU929084,CT583727	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3680	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	44255216	45510068	14,7	CR385083,FP074878	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3680	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	45825989	46036738	14,7	CR385083,FP074878	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-4066	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	38265578	38349177	2,2	FQ311883,FQ311883	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-4066	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-5040	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	5593883	5789516	5,19	CU896666,BX294128	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-5040	10	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-5041	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	6427228	6821962	8,26	CU302319,BX511100	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-5041	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	6275743	8675355	8,26	CU302319,BX511100	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-5042	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	6926782	7172203	3,10	CU855689,CT573223	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-5042	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	5622733	6583536	3,10	CU855689,CT573223	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-5043	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	7684071	7787185	7,7	CU915535,CU633977	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-5043	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	6240904	6774385	7,7	CU915535,CU633977	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-5044	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	8460346	8662741	9,7	BX682234,CU657976	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-5044	10	MAPPED	CU651613.3	NC_007121.5	CHROMOSOME	7475794	8711681	9,7	BX682234,CU657976	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-5131	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	871401	980285	1,7	FQ311904,FP086611	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-5283	10	MAPPED	CM002894.1	NC_007121.6	CHROMOSOME	11929456	12815326	8,12	CR628371,CT990561	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
