Issue_ID	Chromosome	Patch_GenBank_Accession
HG-1414	19	GL949751.2
HG-1415	19	GL949747.2
HG-1416	19	GL949752.1
HG-1417	19	GL949753.2
HG-2021	19	KN196484.1
HG-26	19	KQ458386.1
HG-729	19	JH159149.1
HG-730	19	GL582977.2
HG-959	19	KE332505.1
HG-1143	1	GL383518.1
HG-1144	1	GL383519.1
HG-1145	1	GL383520.2
HG-116	1	JH806573.1
HG-1287	1	JH636052.4
HG-1292	1	JH636053.3
HG-1293	1	JH636054.1
HG-1317	1	JH636053.3
HG-1342	1	KQ031383.1
HG-1409	1	GL383517.1
HG-1471	1	JH806573.1
HG-1472	1	JH806574.2
HG-1473	1	JH806575.1
HG-1832	1	KN538360.1
HG-2058	1	KN196473.1
HG-2095	1	KN538361.1
HG-2096	1	KQ458383.1
HG-2102	1	KQ458382.1
HG-2104	1	KN196474.1
HG-2107	1	KQ458384.1
HG-2282	1	KQ031383.1
HG-986	1	KN196472.1
HG-989	1	GL949741.1
HG-999	1	GL383516.1
HG-1000	20	GL582979.2
HG-1190	20	GL383577.2
HG-1411	20	GL582978.1
HG-144	20	JH720448.1
HG-506	20	GL582979.2
HG-507	20	GL582979.2
HG-944	20	KB663608.1
HG-1191	21	GL383578.2
HG-1192	21	GL383579.2
HG-1193	21	GL383580.2
HG-1194	21	GL383581.2
HG-1703	21	KE332506.1
HG-1311	22	KQ759762.1
HG-1486	22	JH806583.1
HG-1487	22	JH806584.1
HG-1488	22	JH806585.1
HG-1576	22	KQ458388.1
HG-1577	22	KB663609.1
HG-2202	22	KN196485.1
HG-2205	22	KN196486.1
HG-2208	22	KQ759761.1
HG-2209	22	KQ458387.1
HG-329	22	JH720449.1
HG-497	22	JH806586.1
HG-803	22	GL383582.2
HG-992	22	GL383583.2
HG-1007	2	GL877870.2
HG-1068	2	GL582966.2
HG-1148	2	KI270769.1
HG-1149	2	GL383522.1
HG-1174	2	GL877870.2
HG-1359	2	GL582966.2
HG-2232	2	KN538363.1
HG-2233	2	KN538362.1
HG-2290	2	KQ031384.1
HG-686	2	GL877871.1
HG-953	2	KB663603.1
HG-1091	3	JH159131.1
HG-1150	3	GL383526.1
HG-126	3	KN538364.1
HG-1291	3	JH636055.2
HG-186	3	GL383523.1
HG-2022	3	KN196476.1
HG-2066	3	KN196475.1
HG-2235	3	KQ031385.1
HG-2237	3	KQ031386.1
HG-280	3	GL383524.1
HG-325	3	JH159132.1
HG-957	3	KE332495.1
HG-991	3	GL383525.1
HG-1032	4	GL877872.1
HG-1151	4	GL383527.1
HG-1152	4	GL383528.1
HG-1153	4	GL383529.1
HG-174	4	KE332496.1
HG-2146	4	KQ090013.1
HG-2149	4	KQ090014.1
HG-2150	4	KQ090015.1
HG-254	4	KE332496.1
HG-706	4	GL582967.1
HG-1063	5	JH159133.1
HG-1082	5	KE332497.1
HG-1135	5	GL383532.1
HG-1154	5	GL383530.1
HG-1155	5	GL383531.1
HG-1156	5	GL383532.1
HG-167	5	KE332497.1
HG-2048	5	KN196477.1
HG-909	5	GL339449.2
HG-1075	6	KB021644.2
HG-1157	6	KI270798.1
HG-1304	6	JH636056.1
HG-1322	6	JH636057.1
HG-1651	6	KQ031387.1
HG-193	6	KE332498.1
HG-2072	6	KQ090016.1
HG-2080	6	KQ090017.1
HG-2128	6	KN196478.1
HG-27	6	JH806576.1
HG-357	6	KB663604.1
HG-115	7	GL582968.1
HG-1158	7	GL383534.2
HG-1257	7	JH159134.2
HG-1308	7	JH636058.1
HG-14	7	GL582969.1
HG-2239	7	KQ031388.1
HG-444	7	KE332499.1
HG-736	7	GL582970.1
HG-946	7	GL582972.1
HG-104	8	GL383535.1
HG-1699	8	KE332500.1
HG-243	8	GL383536.1
HG-418	8	JH159135.2
HG-975	8	GL383535.1
HG-1159	9	GL383539.1
HG-1160	9	GL383540.1
HG-1161	9	GL383541.1
HG-1162	9	GL383542.1
HG-1410	9	GL383538.1
HG-1500	9	JH806577.1
HG-1501	9	JH806578.1
HG-1502	9	JH806579.1
HG-2030	9	KN196479.1
HG-2156	9	KQ090018.1
HG-2157	9	KQ090019.1
HG-50	9	KB663605.1
HG-79	9	GL339450.1
HG-962	9	JH636059.1
HG-998	9	GL383537.1
HG-1253	X	JH806587.1
HG-1423	X	JH720451.1
HG-1424	X	JH720452.1
HG-1425	X	JH720453.1
HG-1426	X	JH720454.3
HG-1432	X	JH806590.2
HG-1433	X	JH806587.1
HG-1434	X	JH806588.1
HG-1435	X	JH806589.1
HG-1436	X	JH806590.2
HG-1437	X	JH806591.1
HG-1438	X	JH806592.1
HG-1439	X	JH806593.1
HG-1440	X	JH806594.1
HG-1441	X	JH806595.1
HG-1442	X	JH806596.1
HG-1443	X	JH806597.1
HG-1444	X	JH806597.1
HG-1453	X	JH806598.1
HG-1454	X	JH159150.3
HG-1455	X	JH159150.3
HG-1456	X	JH159150.3
HG-1457	X	JH159150.3
HG-1458	X	JH806599.1
HG-1459	X	JH806600.2
HG-1462	X	JH806601.1
HG-1463	X	JH806602.1
HG-1490	X	JH806603.1
HG-1497	X	JH159150.3
HG-1510	X	JH159150.3
HG-29	X	KB021648.1
HG-375	X	JH720455.1
HG-480	X	GL877877.2
HG-481	X	GL877877.2
HG-681	X	JH159150.3
HG-2062	Y	KN196487.1
