# Region Report
# Assembly Name:  GRCh38
# Description:    Genome Reference Consortium Human Build 38
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2013-12-17
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.15 (replaced)
# RefSeq Assembly Accession: GCF_000001405.26 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2	GCF_000001305.14	Primary Assembly
## GCA_000001315.2	GCF_000001315.2	ALT_REF_LOCI_1
## GCA_000001325.2	GCF_000001325.3	ALT_REF_LOCI_2
## GCA_000001335.2	GCF_000001335.2	ALT_REF_LOCI_3
## GCA_000001345.2	GCF_000001345.2	ALT_REF_LOCI_4
## GCA_000001355.2	GCF_000001355.2	ALT_REF_LOCI_5
## GCA_000001365.2	GCF_000001365.3	ALT_REF_LOCI_6
## GCA_000001375.2	GCF_000001375.2	ALT_REF_LOCI_7
## GCA_000510225.1	GCF_000510225.1	ALT_REF_LOCI_8
## GCA_000510235.1	GCF_000510235.1	ALT_REF_LOCI_9
## GCA_000509915.1	GCF_000509915.1	ALT_REF_LOCI_10
## GCA_000509925.1	GCF_000509925.1	ALT_REF_LOCI_11
## GCA_000509935.1	GCF_000509935.1	ALT_REF_LOCI_12
## GCA_000509945.1	GCF_000509945.1	ALT_REF_LOCI_13
## GCA_000509955.1	GCF_000509955.1	ALT_REF_LOCI_14
## GCA_000509965.1	GCF_000509965.1	ALT_REF_LOCI_15
## GCA_000509975.1	GCF_000509975.1	ALT_REF_LOCI_16
## GCA_000509985.1	GCF_000509985.1	ALT_REF_LOCI_17
## GCA_000509995.1	GCF_000509995.1	ALT_REF_LOCI_18
## GCA_000510005.1	GCF_000510005.1	ALT_REF_LOCI_19
## GCA_000510015.1	GCF_000510015.1	ALT_REF_LOCI_20
## GCA_000510025.1	GCF_000510025.1	ALT_REF_LOCI_21
## GCA_000510035.1	GCF_000510035.1	ALT_REF_LOCI_22
## GCA_000510045.1	GCF_000510045.1	ALT_REF_LOCI_23
## GCA_000510055.1	GCF_000510055.1	ALT_REF_LOCI_24
## GCA_000510065.1	GCF_000510065.1	ALT_REF_LOCI_25
## GCA_000510075.1	GCF_000510075.1	ALT_REF_LOCI_26
## GCA_000510085.1	GCF_000510085.1	ALT_REF_LOCI_27
## GCA_000510095.1	GCF_000510095.1	ALT_REF_LOCI_28
## GCA_000510105.1	GCF_000510105.1	ALT_REF_LOCI_29
## GCA_000510125.1	GCF_000510125.1	ALT_REF_LOCI_30
## GCA_000510135.1	GCF_000510135.1	ALT_REF_LOCI_31
## GCA_000510145.1	GCF_000510145.1	ALT_REF_LOCI_32
## GCA_000510155.1	GCF_000510155.1	ALT_REF_LOCI_33
## GCA_000510165.1	GCF_000510165.1	ALT_REF_LOCI_34
## GCA_000510175.1	GCF_000510175.1	ALT_REF_LOCI_35
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION123	3	125665519	125883802	alt-scaffold	KI270780.1	NT_187537.1	ALT_REF_LOCI_1
REGION5	3	151589366	151759498	alt-scaffold	GL383526.1	NW_003315913.1	ALT_REF_LOCI_1
REGION124	3	154111571	154282042	alt-scaffold	KI270777.1	NT_187533.1	ALT_REF_LOCI_1
REGION125	3	166300784	166544173	alt-scaffold	KI270778.1	NT_187536.1	ALT_REF_LOCI_1
REGION126	3	184425340	184533338	alt-scaffold	KI270781.1	NT_187538.1	ALT_REF_LOCI_1
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270779.1	NT_187532.1	ALT_REF_LOCI_1
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270895.1	NT_187649.1	ALT_REF_LOCI_2
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270924.1	NT_187678.1	ALT_REF_LOCI_3
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270934.1	NT_187688.1	ALT_REF_LOCI_4
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270935.1	NT_187689.1	ALT_REF_LOCI_5
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270936.1	NT_187690.1	ALT_REF_LOCI_6
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270937.1	NT_187691.1	ALT_REF_LOCI_7
REGION127	3	197397856	197558882	alt-scaffold	KI270782.1	NT_187534.1	ALT_REF_LOCI_1
REGION128	3	198047549	198235559	alt-scaffold	KI270784.1	NT_187539.1	ALT_REF_LOCI_1
REGION129	4	21521367	21734410	alt-scaffold	KI270790.1	NT_187540.1	ALT_REF_LOCI_1
REGION6	4	34517955	34883858	alt-scaffold	GL383528.1	NW_003315915.1	ALT_REF_LOCI_1
CEN4	4	49708101	51743951	CEN	na	na	na
REGION130	4	55678095	55785754	alt-scaffold	KI270787.1	NT_187541.1	ALT_REF_LOCI_1
UGT2B17	4	68306359	69010457	alt-scaffold	GL000257.2	NT_167250.2	ALT_REF_LOCI_1
REGION131	4	120164199	120317014	alt-scaffold	KI270788.1	NT_187544.1	ALT_REF_LOCI_1
REGION7	4	155835378	155987264	alt-scaffold	GL383527.1	NW_003315914.1	ALT_REF_LOCI_1
REGION132	4	186920392	187048061	alt-scaffold	KI270785.1	NT_187542.1	ALT_REF_LOCI_1
REGION133	4	188341423	188542359	alt-scaffold	KI270789.1	NT_187545.1	ALT_REF_LOCI_1
REGION134	4	189361858	190041016	alt-scaffold	KI270786.1	NT_187543.1	ALT_REF_LOCI_1
REGION134	4	189361858	190041016	alt-scaffold	KI270896.1	NT_187650.1	ALT_REF_LOCI_2
REGION134	4	189361858	190041016	alt-scaffold	KI270925.1	NT_187679.1	ALT_REF_LOCI_3
REGION135	5	502435	626896	alt-scaffold	KI270793.1	NT_187550.1	ALT_REF_LOCI_1
SLC12A7	5	981494	1161361	alt-scaffold	KI270792.1	NT_187548.1	ALT_REF_LOCI_1
SLC6A3	5	1318299	1509772	alt-scaffold	KI270791.1	NT_187547.1	ALT_REF_LOCI_1
REGION9	5	12681426	12744010	alt-scaffold	GL383532.1	NW_003315920.1	ALT_REF_LOCI_1
REGION61	5	29036498	29254469	alt-scaffold	GL949742.1	NW_003571036.1	ALT_REF_LOCI_1
REGION136	5	33800665	33963236	alt-scaffold	KI270794.1	NT_187551.1	ALT_REF_LOCI_1
CEN5	5	46485901	50059807	CEN	na	na	na
SMA	5	69216819	71614443	alt-scaffold	GL339449.2	NW_003315917.2	ALT_REF_LOCI_1
SMA	5	69216819	71614443	alt-scaffold	KI270897.1	NT_187651.1	ALT_REF_LOCI_2
MCTP1	5	95169857	95254491	alt-scaffold	GL383530.1	NW_003315918.1	ALT_REF_LOCI_1
REGION137	5	125279466	125444151	alt-scaffold	KI270796.1	NT_187549.1	ALT_REF_LOCI_1
REGION8	5	162373667	162541648	alt-scaffold	GL383531.1	NW_003315919.1	ALT_REF_LOCI_1
REGION138	5	177865465	177996111	alt-scaffold	KI270795.1	NT_187546.1	ALT_REF_LOCI_1
REGION138	5	177865465	177996111	alt-scaffold	KI270898.1	NT_187652.1	ALT_REF_LOCI_2
MHC	6	28510120	33480577	alt-scaffold	GL000250.2	NT_167244.2	ALT_REF_LOCI_1
MHC	6	28510120	33480577	alt-scaffold	GL000251.2	NT_113891.3	ALT_REF_LOCI_2
MHC	6	28510120	33480577	alt-scaffold	GL000252.2	NT_167245.2	ALT_REF_LOCI_3
MHC	6	28510120	33480577	alt-scaffold	GL000253.2	NT_167246.2	ALT_REF_LOCI_4
MHC	6	28510120	33480577	alt-scaffold	GL000254.2	NT_167247.2	ALT_REF_LOCI_5
MHC	6	28510120	33480577	alt-scaffold	GL000255.2	NT_167248.2	ALT_REF_LOCI_6
MHC	6	28510120	33480577	alt-scaffold	GL000256.2	NT_167249.2	ALT_REF_LOCI_7
MHC	6	28510120	33480577	alt-scaffold	KI270758.1	NT_187692.1	ALT_REF_LOCI_8
CEN6	6	58553889	59829934	CEN	na	na	na
REGION139	6	65774814	65944033	alt-scaffold	KI270800.1	NT_187555.1	ALT_REF_LOCI_1
REGION140	6	68262879	68402208	alt-scaffold	KI270799.1	NT_187554.1	ALT_REF_LOCI_1
REGION10	6	79350008	79446911	alt-scaffold	GL383533.1	NW_003315921.1	ALT_REF_LOCI_1
REGION141	6	127654803	128521146	alt-scaffold	KI270801.1	NT_187556.1	ALT_REF_LOCI_1
REGION142	6	166220580	166285980	alt-scaffold	KI270802.1	NT_187557.1	ALT_REF_LOCI_1
REGION99	6	168796076	168951646	alt-scaffold	KB021644.2	NW_004166862.2	ALT_REF_LOCI_1
REGION143	6	169724799	169919706	alt-scaffold	KI270797.1	NT_187552.1	ALT_REF_LOCI_1
REGION144	6	170272763	170535221	alt-scaffold	KI270798.1	NT_187553.1	ALT_REF_LOCI_1
REGION145	7	10001	198548	alt-scaffold	KI270804.1	NT_187558.1	ALT_REF_LOCI_1
REGION145	7	10001	198548	alt-scaffold	KI270899.1	NT_187653.1	ALT_REF_LOCI_2
CEN7	7	58169654	60828234	CEN	na	na	na
HET7	7	61377789	61528020	HET	na	na	na
REGION146	7	76500982	76722751	alt-scaffold	KI270809.1	NT_187561.1	ALT_REF_LOCI_1
REGION147	7	103086563	103242097	alt-scaffold	KI270806.1	NT_187559.1	ALT_REF_LOCI_1
REGION11	7	141633409	141746583	alt-scaffold	GL383534.2	NW_003315922.2	ALT_REF_LOCI_1
TRB	7	142038121	143088503	alt-scaffold	KI270803.1	NT_187562.1	ALT_REF_LOCI_1
REGION148	7	148214874	148487860	alt-scaffold	KI270808.1	NT_187564.1	ALT_REF_LOCI_1
REGION149	7	157697532	157820586	alt-scaffold	KI270807.1	NT_187563.1	ALT_REF_LOCI_1
REGION150	7	158267495	158477174	alt-scaffold	KI270805.1	NT_187560.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270811.1	NT_187565.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270812.1	NT_187568.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270818.1	NT_187572.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270821.1	NT_187576.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270900.1	NT_187654.1	ALT_REF_LOCI_2
REGION151	8	718410	2817440	alt-scaffold	KI270901.1	NT_187655.1	ALT_REF_LOCI_2
REGION151	8	718410	2817440	alt-scaffold	KI270926.1	NT_187680.1	ALT_REF_LOCI_3
DEFENSIN_REGION_1	8	7308874	7617127	alt-scaffold	KI270813.1	NT_187570.1	ALT_REF_LOCI_1
ADAM5	8	39094318	39873856	alt-scaffold	KI270822.1	NT_187577.1	ALT_REF_LOCI_1
CEN8	8	44033745	45877265	CEN	na	na	na
REGION152	8	57173351	57303398	alt-scaffold	KI270814.1	NT_187566.1	ALT_REF_LOCI_1
REGION153	8	128554723	128925740	alt-scaffold	KI270810.1	NT_187567.1	ALT_REF_LOCI_1
REGION154	8	141333447	141461079	alt-scaffold	KI270819.1	NT_187574.1	ALT_REF_LOCI_1
REGION155	8	141766834	141800272	alt-scaffold	KI270820.1	NT_187575.1	ALT_REF_LOCI_1
REGION156	8	143009713	143163398	alt-scaffold	KI270817.1	NT_187573.1	ALT_REF_LOCI_1
REGION157	8	143509961	143828794	alt-scaffold	KI270816.1	NT_187571.1	ALT_REF_LOCI_1
REGION158	8	144628750	144757761	alt-scaffold	KI270815.1	NT_187569.1	ALT_REF_LOCI_1
REGION14	9	7428994	7577169	alt-scaffold	GL383539.1	NW_003315928.1	ALT_REF_LOCI_1
CEN9	9	43236168	45518558	CEN	na	na	na
REGION13	9	69413743	69477097	alt-scaffold	GL383540.1	NW_003315929.1	ALT_REF_LOCI_1
MAMDC2	9	70024113	70189318	alt-scaffold	GL383541.1	NW_003315930.1	ALT_REF_LOCI_1
REGION15	9	88179047	88227980	alt-scaffold	GL383542.1	NW_003315931.1	ALT_REF_LOCI_1
LPPR1	9	100948798	101378291	alt-scaffold	KI270823.1	NT_187578.1	ALT_REF_LOCI_1
REGION16	10	27285655	27417608	alt-scaffold	GL383545.1	NW_003315934.1	ALT_REF_LOCI_1
CEN10	10	39686683	41593521	CEN	na	na	na
REGION159	10	42103240	42298939	alt-scaffold	KI270824.1	NT_187579.1	ALT_REF_LOCI_1
REGION18	10	45175233	45468971	alt-scaffold	GL383546.1	NW_003315935.1	ALT_REF_LOCI_1
REGION160	10	77761309	77931226	alt-scaffold	KI270825.1	NT_187580.1	ALT_REF_LOCI_1
REGION104	11	470360	678681	alt-scaffold	KI270832.1	NT_187586.1	ALT_REF_LOCI_1
MUCIN_REGION_1	11	937258	1150311	alt-scaffold	KI270902.1	NT_187656.1	ALT_REF_LOCI_2
MUCIN_REGION_1	11	937258	1150311	alt-scaffold	KI270927.1	NT_187681.1	ALT_REF_LOCI_3
KRTAP_REGION_2	11	1523474	1740879	alt-scaffold	KI270830.1	NT_187584.1	ALT_REF_LOCI_1
KRTAP_REGION_2	11	1523474	1740879	alt-scaffold	KI270903.1	NT_187657.1	ALT_REF_LOCI_2
REGION105	11	2767814	3065846	alt-scaffold	KI270831.1	NT_187585.1	ALT_REF_LOCI_1
OLFACTORY_REGION_2	11	7779133	7972558	alt-scaffold	KI270829.1	NT_187583.1	ALT_REF_LOCI_1
REGION19	11	25170407	25319080	alt-scaffold	GL383547.1	NW_003315936.1	ALT_REF_LOCI_1
CEN11	11	51078349	54425074	CEN	na	na	na
OLFACTORY_REGION_1	11	56189252	56873567	alt-scaffold	JH159136.1	NW_003871073.1	ALT_REF_LOCI_1
OLFACTORY_REGION_1	11	56189252	56873567	alt-scaffold	JH159137.1	NW_003871074.1	ALT_REF_LOCI_1
REGION106	11	69165291	69229344	alt-scaffold	KI270827.1	NT_187582.1	ALT_REF_LOCI_1
REGION107	11	134773600	134962792	alt-scaffold	KI270826.1	NT_187581.1	ALT_REF_LOCI_1
REGION50	12	10001	173298	alt-scaffold	GL877875.1	NW_003571049.1	ALT_REF_LOCI_1
PRH1_PRR4	12	10801295	11377386	alt-scaffold	GL877876.1	NW_003571050.1	ALT_REF_LOCI_1
PRH1_PRR4	12	10801295	11377386	alt-scaffold	KI270837.1	NT_187588.1	ALT_REF_LOCI_1
PRH1_PRR4	12	10801295	11377386	alt-scaffold	KI270904.1	NT_187658.1	ALT_REF_LOCI_2
REGION21	12	27996034	28110778	alt-scaffold	GL383549.1	NW_003315938.1	ALT_REF_LOCI_1
OVOS2	12	31111480	31347345	alt-scaffold	KI270835.1	NT_187587.1	ALT_REF_LOCI_1
CEN12	12	34769408	37185252	CEN	na	na	na
REGION22	12	57932737	58092755	alt-scaffold	GL383550.2	NW_003315939.2	ALT_REF_LOCI_1
REGION23	12	58929265	59060870	alt-scaffold	GL383552.1	NW_003315941.1	ALT_REF_LOCI_1
REGION24	12	101111599	101258295	alt-scaffold	GL383553.2	NW_003315942.2	ALT_REF_LOCI_1
REGION161	12	123826509	123945954	alt-scaffold	KI270834.1	NT_187590.1	ALT_REF_LOCI_1
REGION20	12	126227198	126405474	alt-scaffold	GL383551.1	NW_003315940.1	ALT_REF_LOCI_1
REGION162	12	130323076	130394967	alt-scaffold	KI270833.1	NT_187589.1	ALT_REF_LOCI_1
REGION163	12	131543020	131584984	alt-scaffold	KI270836.1	NT_187591.1	ALT_REF_LOCI_1
CEN13	13	16000001	18051248	CEN	na	na	na
REGION164	13	18698351	18884136	alt-scaffold	KI270840.1	NT_187594.1	ALT_REF_LOCI_1
REGION165	13	25652362	25828680	alt-scaffold	KI270839.1	NT_187593.1	ALT_REF_LOCI_1
REGION166	13	70341886	70442876	alt-scaffold	KI270843.1	NT_187597.1	ALT_REF_LOCI_1
REGION167	13	89598964	89764093	alt-scaffold	KI270841.1	NT_187595.1	ALT_REF_LOCI_1
REGION168	13	112182875	112505943	alt-scaffold	KI270838.1	NT_187592.1	ALT_REF_LOCI_1
REGION169	13	113727531	113763795	alt-scaffold	KI270842.1	NT_187596.1	ALT_REF_LOCI_1
CEN14	14	16000001	18173523	CEN	na	na	na
REGION170	14	91535865	91854371	alt-scaffold	KI270844.1	NT_187598.1	ALT_REF_LOCI_1
IGH	14	92885439	94394539	alt-scaffold	KI270847.1	NT_187601.1	ALT_REF_LOCI_1
SERPIN_REGION_1	14	104449322	104622880	alt-scaffold	KI270845.1	NT_187599.1	ALT_REF_LOCI_1
REGION171	14	105533003	106860219	alt-scaffold	KI270846.1	NT_187600.1	ALT_REF_LOCI_1
CEN15	15	17000001	19725254	CEN	na	na	na
PRADER_WILLI	15	21242091	23226874	alt-scaffold	KI270852.1	NT_187602.1	ALT_REF_LOCI_1
PRADER_WILLI	15	21242091	23226874	alt-scaffold	KI270848.1	NT_187603.1	ALT_REF_LOCI_1
PRADER_WILLI	15	21242091	23226874	alt-scaffold	KI270851.1	NT_187604.1	ALT_REF_LOCI_1
PRADER_WILLI	15	21242091	23226874	alt-scaffold	KI270906.1	NT_187659.1	ALT_REF_LOCI_2
REGION25	15	27865714	32946929	alt-scaffold	GL383554.1	NW_003315943.1	ALT_REF_LOCI_1
REGION25	15	27865714	32946929	alt-scaffold	KI270905.1	NT_187660.1	ALT_REF_LOCI_2
TRIM69	15	44676664	44913053	alt-scaffold	KI270849.1	NT_187605.1	ALT_REF_LOCI_1
MEGF11	15	65908183	66284818	alt-scaffold	GL383555.2	NW_003315944.2	ALT_REF_LOCI_1
REGION172	15	82289984	82641774	alt-scaffold	KI270850.1	NT_187606.1	ALT_REF_LOCI_1
RAB11FIP3	16	400855	531525	alt-scaffold	KI270854.1	NT_187610.1	ALT_REF_LOCI_1
REGION173	16	1871895	1933852	alt-scaffold	KI270856.1	NT_187609.1	ALT_REF_LOCI_1
PAM16	16	4299637	4530534	alt-scaffold	KI270855.1	NT_187608.1	ALT_REF_LOCI_1
REGION174	16	14427144	16998739	alt-scaffold	KI270853.1	NT_187607.1	ALT_REF_LOCI_1
CEN16	16	36311159	38280682	CEN	na	na	na
REGION26	16	55772981	55968548	alt-scaffold	GL383556.1	NW_003315945.1	ALT_REF_LOCI_1
SNTB2	16	69140151	69224690	alt-scaffold	GL383557.1	NW_003315946.1	ALT_REF_LOCI_1
DOC2B_RPH3AL	17	60001	402637	alt-scaffold	GL383563.3	NW_003315952.3	ALT_REF_LOCI_1
DOC2B_RPH3AL	17	60001	402637	alt-scaffold	KI270907.1	NT_187662.1	ALT_REF_LOCI_2
ABR	17	960754	1449331	alt-scaffold	KI270862.1	NT_187613.1	ALT_REF_LOCI_1
ABR	17	960754	1449331	alt-scaffold	KI270910.1	NT_187664.1	ALT_REF_LOCI_2
WDR81	17	1569973	1767739	alt-scaffold	KI270861.1	NT_187611.1	ALT_REF_LOCI_1
CEN17	17	22813680	26885980	CEN	na	na	na
CCL5_TBC1D3	17	35765469	38841755	alt-scaffold	KI270857.1	NT_187614.1	ALT_REF_LOCI_1
CCL5_TBC1D3	17	35765469	38841755	alt-scaffold	KI270909.1	NT_187661.1	ALT_REF_LOCI_2
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	GL383564.2	NW_003315953.2	ALT_REF_LOCI_1
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	JH159146.1	NW_003871091.1	ALT_REF_LOCI_1
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	JH159147.1	NW_003871092.1	ALT_REF_LOCI_1
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	JH159148.1	NW_003871093.1	ALT_REF_LOCI_2
MAPT	17	45309498	46903773	alt-scaffold	GL000258.2	NT_167251.2	ALT_REF_LOCI_1
MAPT	17	45309498	46903773	alt-scaffold	KI270908.1	NT_187663.1	ALT_REF_LOCI_2
REGION28	17	70306278	70524219	alt-scaffold	GL383565.1	NW_003315954.1	ALT_REF_LOCI_1
REGION175	17	71584518	71819311	alt-scaffold	KI270858.1	NT_187615.1	ALT_REF_LOCI_1
REGION176	17	72833331	72935743	alt-scaffold	KI270859.1	NT_187616.1	ALT_REF_LOCI_1
REGION30	17	77220730	77299326	alt-scaffold	GL383566.1	NW_003315955.1	ALT_REF_LOCI_1
B3GNTL1	17	82922720	83103577	alt-scaffold	KI270860.1	NT_187612.1	ALT_REF_LOCI_1
CEN18	18	15460900	20861206	CEN	na	na	na
REGION177	18	43667277	43773892	alt-scaffold	KI270864.1	NT_187618.1	ALT_REF_LOCI_1
REGION31	18	50292194	50574792	alt-scaffold	GL383567.1	NW_003315956.1	ALT_REF_LOCI_1
REGION32	18	51662936	51821642	alt-scaffold	GL383570.1	NW_003315959.1	ALT_REF_LOCI_1
REGION33	18	67423723	67552551	alt-scaffold	GL383571.1	NW_003315960.1	ALT_REF_LOCI_1
REGION34	18	72933122	73024781	alt-scaffold	GL383568.1	NW_003315957.1	ALT_REF_LOCI_1
REGION35	18	78493467	78664469	alt-scaffold	GL383569.1	NW_003315958.1	ALT_REF_LOCI_1
